venue_id,date,horizon_days,model,p10,p50,p90,weather_source,temp_mean,precip_sum,weathercode_str,is_holiday,holiday_name,generated_at
2,2026-09-04,1,baseline,64.644,178.824,297.482,forecast,12.987,0.1,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-05,2,baseline,44.65,123.516,205.475,forecast,10.588,5.33,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-06,3,baseline,48.625,134.511,223.765,forecast,8.742,2.6,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-07,4,baseline,8.432,23.325,38.802,forecast,8.8,0.0,clear,False,,2026-09-02T21:48:42Z
2,2026-09-08,5,baseline,67.722,187.338,311.645,forecast,12.375,9.9,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-09,6,baseline,58.166,160.905,267.673,forecast,12.013,2.2,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-10,7,baseline,51.588,142.708,237.4,forecast,14.075,10.6,moderate_drizzle,False,,2026-09-02T21:48:42Z
2,2026-09-11,8,baseline,68.63,162.48,341.435,forecast,14.379,4.0,light_drizzle,False,,2026-09-02T21:48:42Z
2,2026-09-12,9,baseline,56.396,133.517,280.572,forecast,13.708,0.0,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-13,10,baseline,65.966,156.172,328.18,forecast,11.429,0.0,mainly_clear,False,,2026-09-02T21:48:42Z
2,2026-09-14,11,baseline,8.308,19.67,41.335,forecast,10.875,0.0,fog,False,,2026-09-02T21:48:42Z
2,2026-09-15,12,baseline,93.716,221.872,466.24,forecast,10.321,0.0,clear,False,,2026-09-02T21:48:42Z
2,2026-09-16,13,baseline,94.193,223.0,468.61,forecast,10.479,0.0,clear,False,,2026-09-02T21:48:42Z
2,2026-09-17,14,baseline,58.437,138.349,290.725,forecast,8.9,0.0,clear,False,,2026-09-02T21:48:42Z
2,2026-09-18,15,baseline,61.257,133.879,312.643,forecast,,0.0,,False,,2026-09-02T21:48:42Z
2,2026-09-19,16,baseline,58.549,127.962,298.826,climatology,9.366,1.49,overcast,False,,2026-09-02T21:48:42Z
2,2026-09-20,17,baseline,52.479,114.694,267.841,climatology,8.94,2.43,overcast,False,,2026-09-02T21:48:42Z
