venue_id,date,horizon_days,model,p10,p50,p90,weather_source,temp_mean,precip_sum,weathercode_str,is_holiday,holiday_name,generated_at
1,2026-09-14,1,baseline,19.992,38.639,72.686,forecast,11.208,0.0,clear,False,,2026-09-15T20:53:25Z
1,2026-09-15,2,baseline,17.752,34.31,64.542,forecast,9.208,0.0,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-16,3,baseline,20.455,39.533,74.368,forecast,10.929,17.4,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-17,4,baseline,23.449,45.319,85.253,forecast,12.029,4.16,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-18,5,baseline,21.042,40.667,76.501,forecast,11.15,0.8,mainly_clear,False,,2026-09-15T20:53:25Z
1,2026-09-19,6,baseline,30.775,59.479,111.889,forecast,10.821,12.5,moderate_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-20,7,baseline,20.869,40.334,75.875,forecast,11.338,20.1,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-21,8,baseline,16.831,37.202,86.59,forecast,9.546,12.0,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-22,9,baseline,18.137,40.088,93.308,forecast,9.85,1.8,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-23,10,baseline,15.224,33.651,78.325,forecast,8.638,0.4,partly_cloudy,False,,2026-09-15T20:53:25Z
1,2026-09-24,11,baseline,13.739,30.368,70.684,forecast,8.921,1.4,clear,False,,2026-09-15T20:53:25Z
1,2026-09-25,12,baseline,17.977,39.736,92.489,forecast,7.321,7.2,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-26,13,baseline,24.904,55.046,128.123,forecast,10.004,4.2,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-27,14,baseline,17.436,38.541,89.707,forecast,8.025,2.4,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-28,15,baseline,15.878,47.53,145.327,forecast,5.921,19.2,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-29,16,baseline,11.841,35.445,108.376,forecast,5.796,0.0,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-30,17,baseline,13.305,39.827,121.775,climatology,8.24,2.65,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-01,18,baseline,8.987,26.9,82.25,climatology,7.862,0.95,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-02,19,baseline,11.645,34.858,106.581,climatology,6.852,1.3,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-03,20,baseline,22.428,67.136,205.272,climatology,5.955,0.81,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-04,21,baseline,12.18,36.46,111.48,climatology,5.979,1.5,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-05,22,baseline,18.008,53.905,164.818,climatology,5.891,3.47,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-06,23,baseline,12.457,37.287,114.009,climatology,6.428,5.91,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-07,24,baseline,13.334,39.912,122.034,climatology,5.849,3.94,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-08,25,baseline,12.432,37.215,113.787,climatology,5.348,4.06,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-09,26,baseline,11.705,35.037,107.127,climatology,5.619,1.44,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-10,27,baseline,27.037,80.931,247.451,climatology,6.189,5.74,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-11,28,baseline,12.931,38.708,118.352,climatology,6.509,6.2,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-12,29,baseline,13.481,40.353,123.382,climatology,5.205,2.69,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-13,30,baseline,13.476,40.339,123.339,climatology,4.963,0.75,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-14,1,prophet_xgb,17.668,34.123,81.769,forecast,11.208,0.0,clear,False,,2026-09-15T20:53:25Z
1,2026-09-15,2,prophet_xgb,13.19,25.473,61.041,forecast,9.208,0.0,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-16,3,prophet_xgb,25.18,48.63,116.53,forecast,10.929,17.4,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-17,4,prophet_xgb,18.532,35.79,85.763,forecast,12.029,4.16,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-18,5,prophet_xgb,21.09,40.732,97.605,forecast,11.15,0.8,mainly_clear,False,,2026-09-15T20:53:25Z
1,2026-09-19,6,prophet_xgb,42.111,81.329,194.885,forecast,10.821,12.5,moderate_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-20,7,prophet_xgb,24.261,46.856,112.28,forecast,11.338,20.1,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-21,8,prophet_xgb,14.023,37.05,116.659,forecast,9.546,12.0,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-22,9,prophet_xgb,13.374,35.335,111.261,forecast,9.85,1.8,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-23,10,prophet_xgb,3.765,9.948,31.323,forecast,8.638,0.4,partly_cloudy,False,,2026-09-15T20:53:25Z
1,2026-09-24,11,prophet_xgb,6.188,16.349,51.48,forecast,8.921,1.4,clear,False,,2026-09-15T20:53:25Z
1,2026-09-25,12,prophet_xgb,15.016,39.672,124.915,forecast,7.321,7.2,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-26,13,prophet_xgb,26.82,70.86,223.118,forecast,10.004,4.2,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-27,14,prophet_xgb,9.501,25.101,79.038,forecast,8.025,2.4,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-28,15,prophet_xgb,12.738,44.885,216.74,forecast,5.921,19.2,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-29,16,prophet_xgb,4.538,15.99,77.21,forecast,5.796,0.0,overcast,False,,2026-09-15T20:53:25Z
