venue_id,ts_utc,ts_local,horizon_hours,model,p10,p50,p90,hour,weather_source,temperature_2m,precipitation,weathercode_str,generated_at
2,2026-09-15T21:00:00Z,2026-09-16T00:00:00+03:00,1,baseline,0.0,0.0,0.0,0,forecast,10.2,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-15T22:00:00Z,2026-09-16T01:00:00+03:00,2,baseline,0.0,0.0,0.0,1,forecast,10.1,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-15T23:00:00Z,2026-09-16T02:00:00+03:00,3,baseline,0.0,0.0,0.0,2,forecast,10.1,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-16T00:00:00Z,2026-09-16T03:00:00+03:00,4,baseline,0.0,0.0,0.0,3,forecast,10.0,0.2,light_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T01:00:00Z,2026-09-16T04:00:00+03:00,5,baseline,0.0,0.0,0.0,4,forecast,10.0,0.3,light_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T02:00:00Z,2026-09-16T05:00:00+03:00,6,baseline,0.0,0.0,0.0,5,forecast,10.0,0.6,moderate_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T03:00:00Z,2026-09-16T06:00:00+03:00,7,baseline,0.0,0.0,0.0,6,forecast,9.9,0.4,light_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T04:00:00Z,2026-09-16T07:00:00+03:00,8,baseline,0.143,0.33,0.645,7,forecast,9.9,0.5,moderate_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T05:00:00Z,2026-09-16T08:00:00+03:00,9,baseline,1.06,2.453,4.794,8,forecast,9.9,0.8,moderate_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T06:00:00Z,2026-09-16T09:00:00+03:00,10,baseline,0.986,2.282,4.46,9,forecast,10.0,0.5,moderate_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T07:00:00Z,2026-09-16T10:00:00+03:00,11,baseline,1.195,2.763,5.402,10,forecast,10.1,0.2,light_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T08:00:00Z,2026-09-16T11:00:00+03:00,12,baseline,1.04,2.407,4.704,11,forecast,10.4,0.1,light_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T09:00:00Z,2026-09-16T12:00:00+03:00,13,baseline,3.878,8.971,17.534,12,forecast,10.6,0.1,light_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T10:00:00Z,2026-09-16T13:00:00+03:00,14,baseline,8.522,19.713,38.533,13,forecast,10.9,0.3,light_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T11:00:00Z,2026-09-16T14:00:00+03:00,15,baseline,5.789,13.392,26.178,14,forecast,11.0,2.7,moderate_rain,2026-09-15T20:53:25Z
2,2026-09-16T12:00:00Z,2026-09-16T15:00:00+03:00,16,baseline,4.667,10.797,21.105,15,forecast,11.4,1.8,slight_rain,2026-09-15T20:53:25Z
2,2026-09-16T13:00:00Z,2026-09-16T16:00:00+03:00,17,baseline,4.665,10.792,21.095,16,forecast,11.7,0.4,light_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T14:00:00Z,2026-09-16T17:00:00+03:00,18,baseline,5.692,13.168,25.738,17,forecast,11.8,2.5,moderate_rain,2026-09-15T20:53:25Z
2,2026-09-16T15:00:00Z,2026-09-16T18:00:00+03:00,19,baseline,3.016,6.978,13.64,18,forecast,11.9,3.8,moderate_rain,2026-09-15T20:53:25Z
2,2026-09-16T16:00:00Z,2026-09-16T19:00:00+03:00,20,baseline,0.172,0.398,0.778,19,forecast,12.3,0.2,light_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T17:00:00Z,2026-09-16T20:00:00+03:00,21,baseline,0.014,0.032,0.062,20,forecast,12.5,1.2,dense_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T18:00:00Z,2026-09-16T21:00:00+03:00,22,baseline,0.0,0.0,0.0,21,forecast,12.5,0.8,moderate_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T19:00:00Z,2026-09-16T22:00:00+03:00,23,baseline,0.0,0.0,0.0,22,forecast,12.5,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-16T20:00:00Z,2026-09-16T23:00:00+03:00,24,baseline,0.0,0.0,0.0,23,forecast,12.6,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-16T21:00:00Z,2026-09-17T00:00:00+03:00,25,baseline,0.0,0.0,0.0,0,forecast,12.6,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-16T22:00:00Z,2026-09-17T01:00:00+03:00,26,baseline,0.0,0.0,0.0,1,forecast,12.5,0.3,light_drizzle,2026-09-15T20:53:25Z
2,2026-09-16T23:00:00Z,2026-09-17T02:00:00+03:00,27,baseline,0.0,0.0,0.0,2,forecast,12.2,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-17T00:00:00Z,2026-09-17T03:00:00+03:00,28,baseline,0.0,0.0,0.0,3,forecast,12.1,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-17T01:00:00Z,2026-09-17T04:00:00+03:00,29,baseline,0.0,0.0,0.0,4,forecast,12.0,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-17T02:00:00Z,2026-09-17T05:00:00+03:00,30,baseline,0.0,0.0,0.0,5,forecast,11.8,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-17T03:00:00Z,2026-09-17T06:00:00+03:00,31,baseline,0.0,0.0,0.0,6,forecast,11.6,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-17T04:00:00Z,2026-09-17T07:00:00+03:00,32,baseline,0.332,0.767,1.499,7,forecast,11.5,0.1,light_drizzle,2026-09-15T20:53:25Z
2,2026-09-17T05:00:00Z,2026-09-17T08:00:00+03:00,33,baseline,1.096,2.537,4.958,8,forecast,11.5,0.1,light_drizzle,2026-09-15T20:53:25Z
2,2026-09-17T06:00:00Z,2026-09-17T09:00:00+03:00,34,baseline,2.387,5.523,10.796,9,forecast,11.5,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-17T07:00:00Z,2026-09-17T10:00:00+03:00,35,baseline,2.201,5.092,9.953,10,forecast,11.7,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-17T08:00:00Z,2026-09-17T11:00:00+03:00,36,baseline,1.953,4.518,8.831,11,forecast,12.0,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-17T09:00:00Z,2026-09-17T12:00:00+03:00,37,baseline,4.247,9.826,19.206,12,forecast,12.3,0.1,light_drizzle,2026-09-15T20:53:25Z
2,2026-09-17T10:00:00Z,2026-09-17T13:00:00+03:00,38,baseline,9.314,21.543,42.111,13,forecast,12.7,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-17T11:00:00Z,2026-09-17T14:00:00+03:00,39,baseline,6.403,14.812,28.952,14,forecast,12.9,0.0,overcast,2026-09-15T20:53:25Z
2,2026-09-17T12:00:00Z,2026-09-17T15:00:00+03:00,40,baseline,7.796,18.034,35.251,15,forecast,12.8,0.3,light_drizzle,2026-09-15T20:53:25Z
2,2026-09-17T13:00:00Z,2026-09-17T16:00:00+03:00,41,baseline,4.559,10.547,20.616,16,forecast,12.7,0.6,moderate_drizzle,2026-09-15T20:53:25Z
2,2026-09-17T14:00:00Z,2026-09-17T17:00:00+03:00,42,baseline,4.011,9.28,18.139,17,forecast,12.5,0.18,light_drizzle,2026-09-15T20:53:25Z
