venue_id,date,horizon_days,model,p10,p50,p90,weather_source,temp_mean,precip_sum,weathercode_str,is_holiday,holiday_name,generated_at
1,2026-09-16,1,baseline,269.318,442.546,697.75,forecast,10.929,17.4,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-17,2,baseline,281.556,462.657,729.458,forecast,12.029,4.16,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-18,3,baseline,222.866,366.216,577.403,forecast,11.15,0.8,mainly_clear,False,,2026-09-15T20:53:25Z
1,2026-09-19,4,baseline,261.744,430.1,678.127,forecast,10.821,12.5,moderate_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-20,5,baseline,188.029,308.971,487.146,forecast,11.338,20.1,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-21,6,baseline,219.185,360.167,567.865,forecast,9.546,12.0,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-22,7,baseline,205.409,337.53,532.174,forecast,9.85,1.8,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-23,8,baseline,203.638,363.802,602.953,forecast,8.638,0.4,partly_cloudy,False,,2026-09-15T20:53:25Z
1,2026-09-24,9,baseline,224.204,400.543,663.847,forecast,8.921,1.4,clear,False,,2026-09-15T20:53:25Z
1,2026-09-25,10,baseline,232.704,415.728,689.013,forecast,7.321,7.2,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-26,11,baseline,222.942,398.288,660.109,forecast,10.004,4.2,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-27,12,baseline,154.36,275.766,457.046,forecast,8.025,2.4,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-28,13,baseline,248.734,444.365,736.476,forecast,5.921,19.2,light_drizzle,False,,2026-09-15T20:53:25Z
1,2026-09-29,14,baseline,174.315,311.416,516.13,forecast,5.796,0.0,overcast,False,,2026-09-15T20:53:25Z
1,2026-09-30,15,baseline,176.205,358.858,640.195,forecast,1.567,0.0,clear,False,,2026-09-15T20:53:25Z
1,2026-10-01,16,baseline,188.852,384.615,686.145,climatology,7.862,0.95,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-02,17,baseline,192.632,392.313,699.879,climatology,6.852,1.3,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-03,18,baseline,170.996,348.249,621.27,climatology,5.955,0.81,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-04,19,baseline,153.02,311.639,555.957,climatology,5.979,1.5,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-05,20,baseline,205.718,418.963,747.422,climatology,5.891,3.47,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-06,21,baseline,186.798,380.432,678.683,climatology,6.428,5.91,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-07,22,baseline,185.792,378.383,675.027,climatology,5.849,3.94,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-08,23,baseline,233.144,474.819,847.068,climatology,5.348,4.06,overcast,False,,2026-09-15T20:53:25Z
1,2026-10-09,24,baseline,216.024,439.953,784.867,climatology,5.619,1.44,overcast,False,,2026-09-15T20:53:25Z
