venue_id,ts_utc,ts_local,horizon_hours,model,p10,p50,p90,hour,weather_source,temperature_2m,precipitation,weathercode_str,generated_at
2,2026-08-24T21:00:00Z,2026-08-25T00:00:00+03:00,1,baseline,0.0,0.0,0.0,0,forecast,14.3,0.0,mainly_clear,2026-08-24T10:33:02Z
2,2026-08-24T22:00:00Z,2026-08-25T01:00:00+03:00,2,baseline,0.0,0.0,0.0,1,forecast,13.6,0.0,clear,2026-08-24T10:33:02Z
2,2026-08-24T23:00:00Z,2026-08-25T02:00:00+03:00,3,baseline,0.0,0.0,0.0,2,forecast,13.2,0.0,clear,2026-08-24T10:33:02Z
2,2026-08-25T00:00:00Z,2026-08-25T03:00:00+03:00,4,baseline,0.0,0.0,0.0,3,forecast,12.7,0.0,mainly_clear,2026-08-24T10:33:02Z
2,2026-08-25T01:00:00Z,2026-08-25T04:00:00+03:00,5,baseline,0.0,0.0,0.0,4,forecast,12.5,0.0,partly_cloudy,2026-08-24T10:33:02Z
2,2026-08-25T02:00:00Z,2026-08-25T05:00:00+03:00,6,baseline,0.058,0.113,0.274,5,forecast,12.5,0.0,overcast,2026-08-24T10:33:02Z
2,2026-08-25T03:00:00Z,2026-08-25T06:00:00+03:00,7,baseline,0.473,0.928,2.242,6,forecast,12.8,0.0,overcast,2026-08-24T10:33:02Z
2,2026-08-25T04:00:00Z,2026-08-25T07:00:00+03:00,8,baseline,0.3,0.589,1.422,7,forecast,13.2,0.0,partly_cloudy,2026-08-24T10:33:02Z
2,2026-08-25T05:00:00Z,2026-08-25T08:00:00+03:00,9,baseline,0.865,1.698,4.103,8,forecast,14.3,0.0,mainly_clear,2026-08-24T10:33:02Z
2,2026-08-25T06:00:00Z,2026-08-25T09:00:00+03:00,10,baseline,0.751,1.475,3.563,9,forecast,15.0,0.0,partly_cloudy,2026-08-24T10:33:02Z
2,2026-08-25T07:00:00Z,2026-08-25T10:00:00+03:00,11,baseline,0.727,1.428,3.45,10,forecast,15.5,0.0,mainly_clear,2026-08-24T10:33:02Z
2,2026-08-25T08:00:00Z,2026-08-25T11:00:00+03:00,12,baseline,1.968,3.863,9.333,11,forecast,16.3,0.0,partly_cloudy,2026-08-24T10:33:02Z
2,2026-08-25T09:00:00Z,2026-08-25T12:00:00+03:00,13,baseline,5.592,10.979,26.524,12,forecast,16.7,0.0,overcast,2026-08-24T10:33:02Z
2,2026-08-25T10:00:00Z,2026-08-25T13:00:00+03:00,14,baseline,17.339,34.05,82.25,13,forecast,17.0,0.0,partly_cloudy,2026-08-24T10:33:02Z
2,2026-08-25T11:00:00Z,2026-08-25T14:00:00+03:00,15,baseline,15.8,31.024,74.946,14,forecast,17.2,0.0,clear,2026-08-24T10:33:02Z
2,2026-08-25T12:00:00Z,2026-08-25T15:00:00+03:00,16,baseline,10.178,19.986,48.281,15,forecast,17.0,0.0,clear,2026-08-24T10:33:02Z
2,2026-08-25T13:00:00Z,2026-08-25T16:00:00+03:00,17,baseline,8.24,16.18,39.086,16,forecast,16.8,0.0,clear,2026-08-24T10:33:02Z
2,2026-08-25T14:00:00Z,2026-08-25T17:00:00+03:00,18,baseline,7.479,14.686,35.477,17,forecast,16.9,0.0,clear,2026-08-24T10:33:02Z
2,2026-08-25T15:00:00Z,2026-08-25T18:00:00+03:00,19,baseline,6.016,11.812,28.536,18,forecast,16.8,0.0,clear,2026-08-24T10:33:02Z
2,2026-08-25T16:00:00Z,2026-08-25T19:00:00+03:00,20,baseline,0.395,0.776,1.876,19,forecast,16.6,0.0,mainly_clear,2026-08-24T10:33:02Z
2,2026-08-25T17:00:00Z,2026-08-25T20:00:00+03:00,21,baseline,0.055,0.107,0.259,20,forecast,16.1,0.0,mainly_clear,2026-08-24T10:33:02Z
2,2026-08-25T18:00:00Z,2026-08-25T21:00:00+03:00,22,baseline,0.0,0.0,0.0,21,forecast,15.7,0.0,partly_cloudy,2026-08-24T10:33:02Z
2,2026-08-25T19:00:00Z,2026-08-25T22:00:00+03:00,23,baseline,0.0,0.0,0.0,22,forecast,15.3,0.0,mainly_clear,2026-08-24T10:33:02Z
2,2026-08-25T20:00:00Z,2026-08-25T23:00:00+03:00,24,baseline,0.0,0.0,0.0,23,forecast,15.0,0.0,mainly_clear,2026-08-24T10:33:02Z
2,2026-08-25T21:00:00Z,2026-08-26T00:00:00+03:00,25,baseline,0.0,0.0,0.0,0,forecast,14.6,0.0,clear,2026-08-24T10:33:02Z
2,2026-08-25T22:00:00Z,2026-08-26T01:00:00+03:00,26,baseline,0.0,0.0,0.0,1,forecast,14.2,0.0,partly_cloudy,2026-08-24T10:33:02Z
2,2026-08-25T23:00:00Z,2026-08-26T02:00:00+03:00,27,baseline,0.0,0.0,0.0,2,forecast,14.0,0.0,overcast,2026-08-24T10:33:02Z
2,2026-08-26T00:00:00Z,2026-08-26T03:00:00+03:00,28,baseline,0.0,0.0,0.0,3,forecast,14.2,0.0,overcast,2026-08-24T10:33:02Z
2,2026-08-26T01:00:00Z,2026-08-26T04:00:00+03:00,29,baseline,0.0,0.0,0.0,4,forecast,13.5,0.0,mainly_clear,2026-08-24T10:33:02Z
2,2026-08-26T02:00:00Z,2026-08-26T05:00:00+03:00,30,baseline,0.171,0.336,0.812,5,forecast,12.8,0.0,clear,2026-08-24T10:33:02Z
2,2026-08-26T03:00:00Z,2026-08-26T06:00:00+03:00,31,baseline,0.57,1.12,2.705,6,forecast,12.2,0.0,clear,2026-08-24T10:33:02Z
2,2026-08-26T04:00:00Z,2026-08-26T07:00:00+03:00,32,baseline,0.502,0.986,2.383,7,forecast,12.2,0.0,clear,2026-08-24T10:33:02Z
2,2026-08-26T05:00:00Z,2026-08-26T08:00:00+03:00,33,baseline,0.781,1.534,3.705,8,forecast,12.9,0.0,clear,2026-08-24T10:33:02Z
2,2026-08-26T06:00:00Z,2026-08-26T09:00:00+03:00,34,baseline,1.816,3.565,8.613,9,forecast,13.7,0.0,clear,2026-08-24T10:33:02Z
2,2026-08-26T07:00:00Z,2026-08-26T10:00:00+03:00,35,baseline,1.114,2.188,5.285,10,forecast,14.8,0.0,clear,2026-08-24T10:33:02Z
2,2026-08-26T08:00:00Z,2026-08-26T11:00:00+03:00,36,baseline,2.714,5.329,12.874,11,forecast,15.8,0.0,mainly_clear,2026-08-24T10:33:02Z
2,2026-08-26T09:00:00Z,2026-08-26T12:00:00+03:00,37,baseline,7.156,14.05,33.942,12,forecast,16.2,0.0,mainly_clear,2026-08-24T10:33:02Z
2,2026-08-26T10:00:00Z,2026-08-26T13:00:00+03:00,38,baseline,19.721,38.721,93.54,13,forecast,16.6,0.0,mainly_clear,2026-08-24T10:33:02Z
2,2026-08-26T11:00:00Z,2026-08-26T14:00:00+03:00,39,baseline,14.553,28.576,69.033,14,forecast,16.8,0.0,mainly_clear,2026-08-24T10:33:02Z
2,2026-08-26T12:00:00Z,2026-08-26T15:00:00+03:00,40,baseline,13.515,26.538,64.108,15,forecast,17.0,0.0,mainly_clear,2026-08-24T10:33:02Z
2,2026-08-26T13:00:00Z,2026-08-26T16:00:00+03:00,41,baseline,11.092,21.78,52.616,16,forecast,16.8,0.0,mainly_clear,2026-08-24T10:33:02Z
