day_of_year,hour,temp_mean,temp_min,temp_max,precip_mean,wind_mean
1,0,-3.62,-13.8,2.0,0.18,14.42
1,1,-4.0,-15.0,1.2,0.23,14.49
1,2,-4.46,-16.0,0.7,0.19,14.34
1,3,-5.09,-18.5,0.9,0.04,14.02
1,4,-5.13,-18.7,1.5,0.08,14.47
1,5,-5.1,-19.0,1.9,0.09,14.11
1,6,-5.29,-19.2,1.7,0.01,14.46
1,7,-5.58,-19.6,1.3,0.01,14.59
1,8,-5.62,-20.0,0.8,0.02,13.63
1,9,-6.07,-20.5,0.7,0.03,13.49
1,10,-6.29,-20.9,0.5,0.04,12.64
1,11,-6.48,-21.3,0.3,0.03,12.43
1,12,-6.27,-21.4,0.2,0.05,11.99
1,13,-6.21,-21.4,0.4,0.08,11.7
1,14,-6.17,-21.9,0.2,0.08,10.95
1,15,-6.46,-22.8,0.2,0.11,11.32
1,16,-6.63,-23.3,0.2,0.3,12.95
1,17,-6.68,-23.8,1.2,0.25,13.27
1,18,-6.6,-24.3,2.5,0.23,14.08
1,19,-6.61,-25.0,3.2,0.06,15.05
1,20,-6.6,-25.4,3.4,0.05,14.96
1,21,-6.58,-25.8,3.7,0.03,14.58
1,22,-6.79,-26.3,4.0,0.02,15.69
1,23,-7.06,-27.0,4.6,0.04,15.26
2,0,-7.39,-27.3,4.3,0.01,14.16
2,1,-7.8,-27.7,4.0,0.0,13.89
2,2,-8.06,-28.0,4.2,0.0,13.77
2,3,-8.33,-28.6,3.6,0.0,13.42
2,4,-8.14,-28.0,3.5,0.0,12.34
2,5,-8.33,-27.5,3.9,0.0,11.72
2,6,-8.42,-27.2,4.0,0.03,11.52
2,7,-8.44,-26.5,3.7,0.02,11.49
2,8,-8.53,-26.0,3.5,0.03,11.63
2,9,-8.73,-25.9,3.5,0.02,11.54
2,10,-8.86,-25.8,3.6,0.01,11.2
2,11,-8.94,-25.9,3.6,0.01,10.68
2,12,-8.95,-25.7,3.2,0.03,10.06
2,13,-8.92,-25.7,3.1,0.05,9.98
2,14,-9.09,-26.0,3.0,0.06,10.35
2,15,-9.32,-26.8,2.8,0.02,9.98
2,16,-9.41,-26.8,3.0,0.02,10.3
2,17,-9.37,-26.6,3.6,0.0,10.8
2,18,-9.32,-26.7,5.4,0.0,10.61
2,19,-9.59,-27.2,4.1,0.0,10.04
2,20,-9.68,-27.0,3.8,0.0,9.92
2,21,-9.69,-25.9,4.0,0.0,9.83
2,22,-9.75,-24.8,3.8,0.0,9.49
2,23,-9.67,-23.5,3.7,0.0,10.17
3,0,-9.58,-22.9,3.4,0.0,9.8
3,1,-9.53,-22.5,3.2,0.0,9.75
3,2,-9.29,-21.7,3.8,0.0,10.5
3,3,-9.41,-20.4,3.6,0.01,10.82
3,4,-9.34,-20.0,3.9,0.04,11.07
3,5,-9.31,-19.6,4.1,0.03,11.28
3,6,-9.37,-19.4,4.2,0.03,11.8
3,7,-9.52,-20.1,3.9,0.02,11.88
3,8,-9.47,-19.5,3.5,0.02,11.31
3,9,-9.64,-21.3,3.3,0.06,11.49
3,10,-9.62,-20.3,3.1,0.04,11.7
3,11,-9.67,-19.9,3.0,0.0,12.26
3,12,-9.53,-19.6,3.4,0.02,12.51
3,13,-9.44,-19.2,3.3,0.02,12.38
3,14,-9.04,-19.6,4.2,0.03,12.2
3,15,-9.37,-19.9,3.7,0.07,12.46
3,16,-9.18,-20.0,3.3,0.06,12.59
3,17,-9.14,-20.9,2.8,0.06,13.21
3,18,-9.28,-22.4,2.0,0.05,13.95
3,19,-9.67,-24.3,1.3,0.09,14.39
3,20,-10.11,-25.7,0.4,0.1,14.63
3,21,-10.36,-26.7,-0.1,0.1,14.01
3,22,-10.51,-27.3,-0.4,0.11,13.48
3,23,-10.78,-27.7,-0.8,0.05,13.06
4,0,-11.02,-28.1,-1.1,0.02,12.59
4,1,-11.37,-28.5,-1.3,0.02,12.48
4,2,-11.43,-28.9,-1.6,0.03,12.33
4,3,-12.3,-29.7,-2.3,0.02,12.1
4,4,-12.39,-29.8,-2.2,0.02,12.06
4,5,-12.45,-29.9,-1.7,0.02,11.68
4,6,-12.46,-30.0,-1.9,0.01,11.0
4,7,-12.48,-30.3,-2.1,0.03,10.14
4,8,-12.37,-30.4,-2.1,0.04,10.51
4,9,-12.38,-30.5,-2.4,0.07,10.52
4,10,-12.29,-30.5,-2.6,0.07,9.98
4,11,-12.17,-30.4,-2.4,0.03,9.29
4,12,-12.0,-30.2,-2.8,0.01,9.63
4,13,-11.92,-30.1,-3.3,0.02,10.14
4,14,-11.89,-30.0,-3.0,0.02,10.76
4,15,-12.54,-29.7,-4.7,0.0,10.98
4,16,-12.86,-29.4,-5.5,0.01,11.54
4,17,-12.95,-29.2,-4.6,0.01,11.5
4,18,-13.03,-28.8,-3.1,0.01,11.6
4,19,-13.13,-28.4,-3.3,0.03,11.39
4,20,-13.11,-28.1,-3.5,0.04,11.74
4,21,-13.14,-27.7,-3.6,0.05,12.34
4,22,-13.03,-27.5,-2.5,0.05,12.55
4,23,-13.06,-27.5,-2.4,0.03,12.81
5,0,-13.26,-27.7,-3.4,0.02,12.25
5,1,-13.58,-28.2,-4.1,0.01,11.65
5,2,-13.5,-28.8,-2.6,0.02,11.29
5,3,-14.01,-29.3,-2.9,0.01,11.35
5,4,-14.18,-29.3,-3.0,0.01,10.9
5,5,-14.15,-28.9,-2.8,0.03,10.47
5,6,-14.31,-28.5,-2.9,0.05,10.98
5,7,-13.93,-28.2,-2.8,0.03,10.08
5,8,-13.87,-27.8,-2.5,0.02,10.21
5,9,-13.78,-27.4,-2.2,0.01,10.2
5,10,-13.72,-27.2,-2.0,0.02,9.82
5,11,-13.98,-27.2,-1.8,0.03,9.44
5,12,-13.53,-26.9,-1.5,0.05,9.28
5,13,-13.26,-26.7,-1.3,0.06,9.47
5,14,-13.52,-26.9,-1.2,0.07,9.23
5,15,-13.35,-26.8,-1.0,0.05,9.66
5,16,-13.29,-26.6,-0.7,0.04,10.09
5,17,-13.27,-26.5,-0.6,0.06,10.16
5,18,-13.07,-26.5,-0.5,0.04,9.97
5,19,-12.89,-26.5,-0.2,0.05,9.44
5,20,-12.76,-26.6,0.3,0.03,9.87
5,21,-12.65,-26.7,0.6,0.02,10.09
5,22,-12.67,-26.8,0.7,0.02,10.39
5,23,-12.63,-27.3,0.5,0.03,10.63
6,0,-12.68,-27.6,0.2,0.04,10.09
6,1,-12.61,-27.9,-0.2,0.06,10.28
6,2,-12.3,-28.2,0.1,0.04,9.78
6,3,-12.43,-28.5,0.0,0.02,10.35
6,4,-12.42,-28.6,-0.3,0.05,10.06
6,5,-12.4,-28.8,0.3,0.07,9.27
6,6,-12.36,-28.9,0.7,0.02,9.7
6,7,-12.39,-28.8,0.1,0.01,10.25
6,8,-12.22,-28.7,0.5,0.04,10.07
6,9,-12.2,-28.8,0.5,0.04,10.27
6,10,-12.24,-28.7,0.5,0.03,10.16
6,11,-12.24,-28.9,0.4,0.03,9.89
6,12,-12.16,-28.9,0.5,0.05,9.88
6,13,-12.15,-28.9,0.7,0.05,9.34
6,14,-12.5,-29.1,0.4,0.06,9.07
6,15,-12.71,-28.8,-0.3,0.03,8.54
6,16,-12.6,-28.4,-0.5,0.05,8.97
6,17,-12.37,-28.0,-0.3,0.06,9.43
6,18,-12.27,-26.6,-0.2,0.05,10.79
6,19,-12.24,-26.4,-0.7,0.05,10.99
6,20,-12.07,-26.3,-0.9,0.05,11.36
6,21,-11.76,-26.5,-0.7,0.04,11.38
6,22,-11.18,-26.4,0.1,0.07,11.8
6,23,-10.68,-26.4,0.6,0.13,11.85
7,0,-10.3,-26.4,0.9,0.07,12.09
7,1,-10.16,-26.5,1.1,0.02,11.87
7,2,-10.38,-26.5,1.3,0.0,12.06
7,3,-10.31,-26.4,0.8,0.01,12.7
7,4,-10.34,-26.8,0.6,0.03,13.17
7,5,-10.27,-26.5,0.8,0.06,13.44
7,6,-9.94,-26.2,1.0,0.12,13.67
7,7,-9.59,-26.1,1.0,0.09,14.02
7,8,-9.28,-25.8,1.0,0.06,14.12
7,9,-9.14,-26.0,1.0,0.02,14.34
7,10,-9.13,-26.7,1.3,0.0,14.13
7,11,-9.03,-26.6,1.8,0.01,13.84
7,12,-8.85,-26.5,2.6,0.01,13.51
7,13,-8.79,-26.3,2.8,0.0,13.01
7,14,-8.6,-26.3,3.2,0.0,13.51
7,15,-8.56,-26.1,2.9,0.0,14.1
7,16,-8.47,-26.0,2.7,0.0,14.15
